ds,yhat,yhat_lower,yhat_upper
1994-09-01,-0.0022410413810952934,-0.7709053416343962,0.8037560597193435
1994-10-01,0.10269363687324565,-0.6766785681437228,0.8346266871843073
1994-11-01,0.4058064363008462,-0.34667787489661983,1.1700886350590745
1994-12-01,0.5966441805271084,-0.19390508229850764,1.3330695329077837
1995-01-01,0.17726159051664162,-0.583777591193222,0.9855940662002434
1995-02-01,0.5748230439190762,-0.2124127234687373,1.3684964995253082
1995-03-01,0.08349398066908884,-0.7704863761048942,0.8238255105837374
1995-04-01,0.17432982850570317,-0.5361253351252161,0.9214198952031923
1995-05-01,0.5705212319750305,-0.17118250938530277,1.3196836498832698
1995-06-01,0.036406410759617286,-0.7505649313137007,0.7522368469454803
1995-07-01,-0.33913229242353327,-1.105051994536042,0.41508920452339726
1995-08-01,0.3439011057955569,-0.4788171476831188,1.1118636917808284
